gameweek,season,name,deadline_time,average_score,highest_score,highest_scoring_entry,finished,data_checked,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,transfers_made,most_selected,most_transferred_in,top_element,top_element_info
10,2324,Gameweek 10,2023-10-28 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
11,2324,Gameweek 11,2023-11-04 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
12,2324,Gameweek 12,2023-11-12 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
13,2324,Gameweek 13,2023-11-25 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
14,2324,Gameweek 14,2023-12-02 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
15,2324,Gameweek 15,2023-12-06 19:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
16,2324,Gameweek 16,2023-12-09 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
17,2324,Gameweek 17,2023-12-16 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
18,2324,Gameweek 18,2023-12-22 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
19,2324,Gameweek 19,2023-12-26 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
35,2324,Gameweek 35,2024-04-27 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
36,2324,Gameweek 36,2024-05-04 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
37,2324,Gameweek 37,2024-05-11 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
38,2324,Gameweek 38,2024-05-19 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
1,2425,Gameweek 1,2024-08-17 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
2,2425,Gameweek 2,2024-08-25 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
